"Name","State","Notes","User","Tags","Created","Runtime","Sweep","hidden_size","input_size","lr","num_classes","num_epochs","optimizer","prefactor","use_mup","act change a1","act change a2","act change a3","act change h1","act change h2","act mean(abs(a1))","act mean(abs(a2))","act mean(abs(a3))","act mean(abs(h1))","act mean(abs(h2))","act norm a1","act norm a2","act norm a3","act norm h1","act norm h2","epoch","grad mean(abs(grad_fc1.weight))","grad mean(abs(grad_fc2.weight))","grad mean(abs(grad_fc3.weight))","grad norm fc1.weight","grad norm fc2.weight","grad norm fc3.weight","spectral_norm_W0","spectral_norm_W1","spectral_norm_W2","test_acc","test_loss","train_loss","trainer/global_step","val_acc","val_loss"
"mup_sgd_w9192_lr10.0_e25_b128_9564","failed","-","","","2024-10-22T06:21:32.000Z","516","","9192","3072","10","10","25","sgd","1.4142135623730951","true","","","","","","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","24","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","NaN","4899","0.10000000149011612","NaN"
"std_sgd_w9192_lr10.0_e25_b128_6849","failed","-","","","2024-10-22T06:10:26.000Z","514","","9192","3072","10","10","25","sgd","1.4142135623730951","false","","","","","","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","24","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","NaN","4899","0.10000000149011612","NaN"
"mup_sgd_w9192_lr1.0_e25_b128_1058","crashed","-","","","2024-10-22T05:58:37.000Z","556","","9192","3072","1","10","25","sgd","1.4142135623730951","true","","","","","","1.6886143684387207","2.905651569366455","3.5752949714660645","0.5562601089477539","0.6167030930519104","209.90286254882812","353.5555419921875","13.759693145751951","106.45054626464844","134.8287811279297","24","0.00004592318146023899","0.00003715244383784011","0.00935865007340908","0.326212078332901","0.5408051609992981","4.9886040687561035","","","","","","0.1566464900970459","4849","0.4814000129699707","2.554133653640747"
"std_sgd_w9192_lr1.0_e25_b128_6870","crashed","-","","","2024-10-22T05:46:46.000Z","556","","9192","3072","1","10","25","sgd","1.4142135623730951","false","","","","","","1.0143450498580933","4.559593200683594","7.466608047485352","0.202288419008255","0.02526015043258667","120.68549346923828","605.257568359375","29.717182159423828","42.85076904296875","23.739049911499023","24","0.00010903726069955157","0.000022362961317412555","0.00024707792908884585","0.8417969942092896","1.175675868988037","0.46760308742523193","","","","","","0.15898627042770386","4799","0.4900000095367432","3.822031974792481"
"mup_sgd_w9192_lr0.5_e25_b128_6593","crashed","-","","","2024-10-22T05:35:03.000Z","556","","9192","3072","0.5","10","25","sgd","1.4142135623730951","true","","","","","","1.1413171291351318","1.3576468229293823","3.1437628269195557","0.4132997393608093","0.8115014433860779","142.60147094726562","165.83502197265625","11.98891258239746","78.51301574707031","129.44886779785156","24","0.00010935094906017184","0.000051853949116775766","0.01713603362441063","0.7854929566383362","0.7023351788520813","7.574875831604004","","","","","","0.33956658840179443","4899","0.44600000977516174","2.3443405628204346"
"std_sgd_w9192_lr0.5_e25_b128_9079","failed","-","","","2024-10-22T05:23:05.000Z","564","","9192","3072","0.5","10","25","sgd","1.4142135623730951","false","","","","","","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","24","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","NaN","4899","0.10000000149011612","NaN"
"mup_sgd_w9192_lr0.25_e25_b128_4295","crashed","-","","","2024-10-22T05:11:10.000Z","571","","9192","3072","0.25","10","25","sgd","1.4142135623730951","true","","","","","","0.8812775611877441","1.265069842338562","2.4691951274871826","0.3970223665237427","1.0410939455032349","108.6807861328125","151.15884399414062","9.48584270477295","71.31855773925781","141.426513671875","24","0.00010777766146929936","0.00004380961036076769","0.01957394741475582","0.7599602937698364","0.6104651093482971","8.817102432250977","","","","","","0.7427008152008057","4749","0.41029998660087585","2.238701105117798"
"std_sgd_w9192_lr0.25_e25_b128_9491","crashed","-","","","2024-10-22T04:59:06.000Z","572","","9192","3072","0.25","10","25","sgd","1.4142135623730951","false","","","","","","0.4583944678306579","0.5298477411270142","5.637284278869629","0.15622568130493164","0.0753798559308052","55.850196838378906","67.51274108886719","22.04599380493164","29.321958541870117","18.83860206604004","24","0.00004655928933061659","0.000017907996152644046","0.00014094141079112887","0.3381475508213043","0.3035512864589691","0.0816965401172638","","","","","","0.02214659564197063","4749","0.5861999988555908","1.962989091873169"
"mup_sgd_w9192_lr0.125_e25_b128_9907","crashed","-","","","2024-10-22T04:46:44.000Z","585","","9192","3072","0.125","10","25","sgd","1.4142135623730951","true","","","","","","0.7536752223968506","1.2597215175628662","1.8037136793136597","0.37744349241256714","1.087158441543579","92.40288543701172","148.01788330078125","6.806504249572754","65.65089416503906","141.11538696289062","24","0.00007928589911898598","0.00004101124795852229","0.02386348508298397","0.5627017617225647","0.56464684009552","9.694547653198242","","","","","","1.0814323425292969","4849","0.5227000117301941","1.3584530353546145"
"std_sgd_w9192_lr0.125_e25_b128_8059","crashed","-","","","2024-10-22T04:34:52.000Z","557","","9192","3072","0.125","10","25","sgd","1.4142135623730951","false","","","","","","0.3562396764755249","0.20972129702568057","4.156800270080566","0.12809699773788452","0.07319913059473038","43.74854278564453","25.788818359375","16.10718536376953","23.85322952270508","14.153289794921877","24","0.00016494830197189003","0.00005565390893025324","0.00046925226342864335","1.1891437768936155","0.7607825994491577","0.22225406765937805","","","","","","0.2806718945503235","4849","0.5403000116348267","1.9034152030944824"
"mup_sgd_w4096_lr10.0_e25_b128_4371","failed","-","","","2024-10-22T04:29:38.000Z","166","","4096","3072","10","10","25","sgd","1.4142135623730951","true","","","","","","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","24","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","NaN","4899","0.10000000149011612","NaN"
"std_sgd_w4096_lr10.0_e25_b128_7054","failed","-","","","2024-10-22T04:26:21.000Z","158","","4096","3072","10","10","25","sgd","1.4142135623730951","false","","","","","","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","24","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","NaN","4899","0.10000000149011612","NaN"
"mup_sgd_w4096_lr1.0_e25_b128_1750","crashed","-","","","2024-10-22T04:22:35.000Z","181","","4096","3072","1","10","25","sgd","1.4142135623730951","true","","","","","","1.5797717571258545","2.412426471710205","3.931172370910645","0.5531373620033264","0.7547975778579712","130.3976287841797","196.08123779296875","15.282588958740234","69.46681213378906","100.96749877929688","21","0.00007035815360723063","0.00005105994932819158","0.004894470330327749","0.32739219069480896","0.3242211639881134","1.5770535469055176","","","","","","0.22908052802085876","4199","0.5026000142097473","2.1657967567443848"
"std_sgd_w4096_lr1.0_e25_b128_8831","failed","-","","","2024-10-22T04:19:08.000Z","167","","4096","3072","1","10","25","sgd","1.4142135623730951","false","","","","","","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","24","NaN","NaN","NaN","NaN","NaN","NaN","","","","","","NaN","4899","0.10000000149011612","NaN"
"mup_sgd_w4096_lr0.5_e25_b128_3073","crashed","-","","","2024-10-22T04:15:39.000Z","166","","4096","3072","0.5","10","25","sgd","1.4142135623730951","true","","","","","","1.118428111076355","1.3520715236663818","2.8761250972747803","0.44176167249679565","0.7830018401145935","92.96521759033205","109.81114196777344","11.152694702148438","54.66490173339844","84.77926635742188","22","0.0002408038999419659","0.00009482236782787368","0.014404145069420338","1.1304473876953125","0.5695558190345764","4.078387260437012","","","","","","0.6155585050582886","4507","0.5249999761581421","1.670415997505188"
"std_sgd_w4096_lr0.5_e25_b128_6428","crashed","-","","","2024-10-22T04:11:52.000Z","182","","4096","3072","0.5","10","25","sgd","1.4142135623730951","false","","","","","","0.8327023386955261","1.4772491455078125","7.337802410125732","0.27042558789253235","0.10851195454597472","67.43954467773438","115.6072998046875","28.609634399414062","34.286746978759766","23.087963104248047","21","0.000036586046917364","0.00001829755274229683","0.0000968996246228926","0.18169254064559937","0.18691568076610565","0.04998798668384552","","","","","","0.011532917618751526","4149","0.5874999761581421","2.475522994995117"
